party_id,last_name,first_name,gender,birth_date,dr_lic_num,dr_lic_state,ssn,address_1,address_2,city,state_code,zip_code,bus_phone,home_phone,email_address,otn,party_code
C-1014,BRADY,JEFF,,8/15/88,,,,9899 EAST 2999 S,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1015,WILSON,TOMMIE,,2/15/83,144925602,,,1899 EAST 2999 S,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1016,WILSON,TOMMY,,2/15/83,144925602,,453532994,1899 EAST 2999 S,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1017,TRENTON,AMBER,,9/16/82,,,,7777 EAST LANTER AVE,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1018,TRENTON,AMBER,,9/16/82,,,,7777 LANTER AVE,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1019,JONES,HECTOR JAMES,,8/30/90,,,,9898 NORTH 4444 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1020,JONES ,HECTOR JOHN,,8/30/90,,,,9898 NORTH 4444 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1021,HALL,VINCENT,,1/31/84,,,,2112 EAST 6666 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1022,HALL ANDERSON,VINCENT,,1/31/84,,,,2112 EAST 6666 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1023,LOPEZ,RITA,,11/1/75,,,,8484 WEST 8888 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1024,DIAZ,RITA,,11/1/75,,,,8484 WEST 8888 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1025,JONES ,HECTOR,,9/16/82,,,,7777 EAST LANTER AVE,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1026,BRADY SR,JEFF,,7/1/62,,,,9899 EAST 2999 S,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1027,TRENT PLOURD,MICHAEL E.,,3/22/73,,,,9311 WEST 2929 EAST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1028,TRENT PLOURD,MICHAEL ERIC,,3/22/73,,,,9311 WEST 2929 EAST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1029,DANIELS,CHRIS,,8/14/82,,,753559444,3339 EAST 9292 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1030,DANIELS,CHRISTOPHER,,8/14/82,,,753559444,3339 EAST 9292 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1031,KENDALL,JOSH,,2/22/82,,,,7373 E. 9112 N.,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1032,KENDALL,JOSH,,2/22/82,,,,7373 EAST 9112 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1033,TOWNS,JUSTIN,,4/3/72,,,,7777 WEST 2222 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1034,TOWNS,JUSTIN,,3/4/72,,,,7777 WEST 2222 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1035,SIMMONS,JESSICA,,1/24/92,,,,5454 EAST 2213 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1036,SIMMONS,JESSICA,,11/24/92,,,,5454 EAST 2213 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1037,JAMES,AUSTIN,,7/22/81,,,482182139,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1038,JAMES,AUSTIN,,7/22/81,,,48218139,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1039,REYNOLDS,TRISH,,2/23/84,,,731248378,2112 EAST 6666 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1040,REYNOLDS,TRISH,,2/23/84,,,731248738,2112 EAST 6666 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1041,SMITH,GINA,,1/20/82,,,835310293,9311 WEST 2929 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1042,SMITH,GINA,,1/20/82,,,838310293,9311 WEST 2929 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1043,HOLMES,JOE DAVE,,6/25/84,,,577815425,9321 EAST 9211 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1044,HOLMES,JOE DAVE JR,,6/25/84,,,,9321 EAST 9211 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1045,HYSTER,RAY,,4/12/65,,,,2732 WEST 8212 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1046,HYSTER,RAY JR,,4/12/65,,,,2732 WEST 8212 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1047,NICKLES,JAMES,,,,,843485888,9282 EAST 7721 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1048,NICKLES PRANT,JAMES JR,,9/21/43,,,843485888,9322 WEST 9913 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1049,FRANZIA,JOE,,7/23/54,,,827522193,3434 NORTH 5453 WEST #5,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1050,FRANZIA,JOSEPH,,,,,827522193,3434 NORTH 5453 WEST ,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1051,RHODES,MARK,,5/31/67,,,536375485,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1052,RHODES,MARC,,5/31/67,,,536375485,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1053,CAIN,JOE,,4/23/58,,,435275956,7777 WEST 2222 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1054,CANE,JOE,,4/23/58,,,435275956,7777 WEST 2222 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1055,GARY,GLEN,,5/12/87,,,,4034 EAST 3218 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1056,GARY,GLENN,,5/12/87,,,,4034 EAST 3218 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1057,DAVIDSON,JOHN,,8/31/76,,,,5298 WEST 7375 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1058,DAVISON,JOHN,,8/31/76,,,,5298 WEST 7375 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1059,DAVIDSON,JOHN,,8/13/76,,,,5298 WEST 7375 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1060,DAVIDSON,JOHN,,8/31/76,,,,5298 W 7375 N,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1061,KENDALL,JOSH,,2/22/82,,,,,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1062,JAMES,AUSTIN,,7/22/81,,,482182139,5525 WEST 4212 SOUTH,,SALT ALKE CITY,UT,84140,,,,,DEF
C-1063,JAMES,AUSTIN,,7/22/81,,,482182139,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1064,PARKER,JULIA,,3/11/76,,,,4213 EAST 7321 NORTH,,ST GEORGE,UT,83234,,,,,DEF
C-1065,PARKER,JULIA,,3/11/76,,,,4213 EAST 7321 NORTH,,SAINT GEORGE,UT,83234,,,,,DEF
C-1066,PARKER,JULIA,,3/11/76,,,,4213 EAST 7321 NORTH,,ST GEORGE,UT,,,,,,DEF
C-1067,PARKER,JULIA,,3/11/76,,,,4213 EAST 7321 NORTH,,,UT,83234,,,,,DEF
C-1068,HOLMES,JOE DAVE JR,,,,,577815425,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1069,WILLIAMS,MICHELLE,,3/4/72,,,,7777 WEST 2222 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1070,JONES,DAVID,,1/24/92,,,,5454 EAST 2213 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1071,DAVIS,LISA,,11/24/92,,,,5460 EAST 5413 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1072,BROWN,MATTHEW,,3/22/81,,,482582139,5525 WEST 4212 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1073,RODRIGUEZ,SARAH,,7/22/81,,,648218139,5825 EAST 8512 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1074,MARITINEZ,BRIAN,,1/23/80,,,731248378,2912 WEST 4444 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1075,HERNANDEZ,AMY,,2/23/84,,,531248378,2112 EAST 6666 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1076,LOPEZ,JAMES,,4/20/89,,,835310293,2211 WEST 2929 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1077,GONZALEZ,KAREN,,1/20/82,,,838310293,9311 WEST 2929 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1078,WILSON,DANIEL,,6/25/89,,,577815425,9321 EAST 7211 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1079,MARTIN,JENNIFER,,6/21/84,,,,9321 EAST 9211 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1080,ANDERSON,KEVIN,,4/12/65,,,,2732 WEST 8212 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1081,TAYLOR,LINDA,,4/30/1969,,,,9932 WEST 8212 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1082,THOMAS,CHRISTOPHER,,5/30/72,,,,1736 NORTH 1138 EAST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1083,HALL,MICHELLE,,2/28/1989,,,,3746 NORTH 1138 EAST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1084,MARTIN,JAMES,,8/14/74,,,,4152 WEST 3847 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1085,GARCIA,PATRICIA,,8/14/68,,,,4652 WEST 9847 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1086,MILLER,THOMAS,,11/22/76,,,,6985 EAST 4956 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1087,WILSON,HEATHER,,8/22/89,,,,6585 WEST 2956 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1088,BROWN,BRIAN,,2/7/73,,,,1722 WEST 5479 WEST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1089,DAVIS,SANDRA,,2/20/76,,,,7789 SOUTH 6779 WEST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1090,MARTINEZ,MATTHEW,,7/11/68,,,,2944 WEST 7703 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1091,PARKER,JULIA,,3/11/76,,,,4213 EAST 7321 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1092,LOPEZ,JOHN,,12/9/71,,,,4010 NORTH 5275 WEST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1093,GONZALEZ,KAREN,,10/9/74,,,,4044 NORTH 5575 WEST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1094,MARTIN,DAVID,,4/1/70,,,,1532 WEST 6371 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1095,WILSON,ELIZABETH,,7/1/75,,,,1732 EAST 6375 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1096,ANDERSON,CHRISTOPHER,,8/20/76,,,,9897 EAST 2018 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1097,TAYLOR,MICHELLE,,9/20/79,,,,8857 EAST 2015 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1098,THOMAS,EMMA,,12/28/76,,,,7668 WEST 9265 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1099,MARTIN,LISA,,2/28/74,,,,7359 EAST 9255 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1100,HALL,JOHN,,6/15/71,,,,4245 WEST 6218 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1101,ALLEN,SARAH,,6/15/71,,,,4645 EAST 3218 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1102,MILLER,WILLIAM,,10/9/73,,,,6201 WEST 2555 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1103,WILSON,AMY,,10/4/75,,,,6255 WEST 2635 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1104,GARCIA,JOHN,,3/19/72,,,,9955 EAST 8838 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1105,MARTINEZ,LINDA,,3/19/68,,,,9445 EAST 8838 NORTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1106,HERNANDEZ,ROBERT,,8/8/70,,,,3185 WEST 7016 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1107,LOPEZ,KAREN,,8/9/74,,,,3195 EAST 1016 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1108,DAVIS,MARK,,5/12/75,,,,2700 SOUTH 7200 WEST,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1109,GONZALEZ,JACOB,,12/2/72,,,,3900 WEST 6500 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1110,SCOTT,EMMA,,9/14/73,,,,4700 WEST 6100 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1111,BENSON,CARTER,,4/7/71,,,,5500 WEST 5900 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1112,NICHOLS,ADDISON,,1/10/74,,,,6100 WEST 5500 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1113,ROSS,AUBREY,,7/25/68,,,,6900 WEST 4700 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1114,PATTON,ANDREA,,2/18/71,,,,7200 WEST 3900 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1115,WAGNER,JAMES,,11/22/74,,,,8100 WEST 2700 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1116,WILLIAMSON,SARAH,,6/8/72,,,,8700 WEST 1500 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1117,MATTHEWS,JONATHAN,,3/12/70,,,,9500 WEST 3000 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1118,JOHNSTON,ANDREW,,9/9/73,,,,1020 WEST 1300 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1119,PERRY,EMILY,,4/28/75,,,,1140 WEST 1100 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1120,TUCKER,ABIGAIL,,2/7/71,,,,1280 WEST 7030 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1121,MCDONALD,NICHOLAS,,10/5/74,,,,1330 WEST 3030 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1122,JAMES,ELIZABETH,,7/9/68,,,,1460 WEST 1000 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1123,EVANS,NOAH,,5/16/73,,,,1590 WEST 1020 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1124,REYES,CHLOE,,1/28/75,,,,1670 WEST 5020 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1125,BURNETT,SAMUEL,,11/30/71,,,,1740 WEST 2500 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1126,COOPER,AVA,,8/23/69,,,,1810 WEST 1030 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1127,ROGERS,JULIAN,,6/7/70,,,,1990 WEST 5540 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1128,COLEMAN,CHRISTOPHER,,3/14/75,,,,2050 WEST 1544 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1129,HUNT,LEAH,,1/20/74,,,,2130 WEST 1220 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
C-1130,GARCIA,NATALIE,,10/11/73,,,,2200 WEST 4020 SOUTH,,SALT LAKE CITY,UT,84104,,,,,DEF
